	raw_category	category	mpcat40	ade20k	ade20k_net					
457	chest drawer	chest drawer	misc	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
458	chest drawers	chest of drawers	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
459	chest of drawer	chest of drawer	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
460	chest of drawers	chest of drawers	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
461	chest of drawres	chest of drawers	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
462	chest of dreawers	chest of drawers	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
463	chiar	chair	chair	chair	chair					
464	child car seat	child car seat	objects	seat	seat					
465	chimney	chimney	misc	fireplace	fireplace					
466	christmas tree	christmas tree	misc	tree	tree					
467	cieling	ceiling	ceiling	ceiling	ceiling					
468	circular sofa	circular sofa	sofa	sofa	sofa					
469	clarinet	clarinet	objects	"plaything, toy"	"painting, picture"					
470	cleaner	cleaner	objects	bottle	"washer, automatic washer, washing machine"					
471	cleaner bottle	cleaner bottle	objects	bottle	bottle					
472	cleaner brush	cleaner brush	objects	unlabeled	"washer, automatic washer, washing machine"					
473	cleaning clutter	cleaning clutter	misc	bottle	trash can					
474	cleaning fluid	cleaning fluid	objects	bottle	"washer, automatic washer, washing machine"					
475	cleaning liquid	cleaning liquid	objects	bottle	"washer, automatic washer, washing machine"					
476	cleaning paper	cleaning paper	objects	"poster, posting, placard, notice, bill, card"	"washer, automatic washer, washing machine"					
477	cleaning paste	cleaning paste	objects	bottle	"washer, automatic washer, washing machine"					
478	cleaning powders/ liquids	cleaning powders/ liquids	objects	bottle	"washer, automatic washer, washing machine"					
479	cleaning sponge	cleaning sponge	objects	unlabeled	"washer, automatic washer, washing machine"					
480	cleaning spray	cleaning spray	objects	bottle	"washer, automatic washer, washing machine"					
481	clock	clock	objects	clock	clock					
482	closet	closet	cabinet	"wardrobe, closet, press"	"wardrobe, closet, press"					
483	closet area for hanging clothes	closet area for hanging clothes	misc	"wardrobe, closet, press"	"wardrobe, closet, press"					
484	closet door	closet door	door	"wardrobe, closet, press"	"wardrobe, closet, press"					
485	closet floor	closet floor	misc	"wardrobe, closet, press"	"wardrobe, closet, press"					
486	closet mirror wall	closet mirror wall	misc	mirror	"wardrobe, closet, press"					
487	closet rod	closet rod	objects	"wardrobe, closet, press"	"wardrobe, closet, press"					
488	closet shelf	closet shelf	shelving	shelf	"wardrobe, closet, press"					
489	closet shelving	closet shelving	misc	shelf	"wardrobe, closet, press"					
490	closet storage area	closet storage area	misc	"wardrobe, closet, press"	"wardrobe, closet, press"					
491	clotes dryer	clothes dryer	appliances	clothes	clothes					
492	cloth	cloth	objects	clothes	"blanket, cover"					
493	cloth dryer	cloth dryer	appliances	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
494	cloth hanger	cloth hanger	objects	bar	"ottoman, pouf, pouffe, puff, hassock"					
495	cloth hangers	cloth hangers	objects	bar	"ottoman, pouf, pouffe, puff, hassock"					
496	cloth holder	cloth holder	objects	bar	towel					
497	clothes	clothes	clothes	clothes	clothes					
498	clothes  rack	clothes rack	misc	clothes	clothes					
499	clothes bag	clothes bag	misc	bag	clothes					
500	clothes container	clothes container	misc	box	clothes					
501	clothes dryer	clothes dryer	appliances	"washer, automatic washer, washing machine"	clothes					
502	clothes hamper	clothes hamper	objects	bar	clothes					
503	clothes hanger	clothes hanger	objects	bar	clothes					
504	clothes hanger rod	clothes hanger rod	objects	bar	clothes					
505	clothes on shelf	clothes on shelf	clothes	clothes	shelf					
506	clothes rack	clothes rack	misc	bar	clothes					
507	clothing stand	clothing stand	misc	bar	clothes					
508	clutter	clutter	misc	trash can	trash can					
509	coach	coach	misc	ball	ball					
510	coaster	coaster	objects	arcade machine	arcade machine					
511	coat	coat	clothes	clothes	clothes					
512	coat hanger	coat hanger	objects	bar	bag					
513	coat rack	coat rack	misc	"base, pedestal, stand"	pillow					
514	cofee table	coffee machine	appliances	computer	coffee table					
515	coffe machine	coffee machine	appliances	computer	coffee table					
516	coffe table	coffee table	table	coffee table	coffee table					
517	coffee machine	coffee machine	appliances	computer	coffee table					
518	coffee maker	coffee maker	appliances	computer	coffee table					
519	coffee mug	coffee mug	objects	vase	coffee table					
520	coffee table	coffee table	table	coffee table	coffee table					
521	coffie machine	coffee machine	appliances	computer	coffee table					
522	coffiee machine	coffee machine	appliances	computer	coffee table					
523	coffiee table	coffee table	table	coffee table	coffee table					
524	coffy table	coffee table	table	coffee table	coffee table					
525	column	column	misc	"column, pillar"	"column, pillar"					
526	compound wall	compound wall	misc	wall	wall					
527	compressor	compressor	appliances	radiator	radiator					
528	computer	computer	objects	computer	computer					
529	computer chair	computer chair	chair	chair	chair					
530	computer desk	computer desk	table	desk	desk					
531	computer equipment	computer equipment	misc	computer	computer					
532	computer mouse	computer mouse	objects	computer	computer					
533	computer tower	computer tower	objects	computer	tower					
534	condensation furnace	condensation furnace	objects	computer	radiator					
535	condiment	condiment	misc	"food, solid food"	"food, solid food"					
536	cone	cone	misc	tray	tray					
537	conference phone	conference phone	appliances	computer	"wardrobe, closet, press"					
538	console	console	objects	arcade machine	arcade machine					
539	console pad	console pad	objects	arcade machine	arcade machine					
540	console pad charger	console pad charger	misc	arcade machine	"awning, sunshade, sunblind"					
541	construction stuff	construction stuff	misc	building	building					
542	container	container	objects	"tank, storage tank"	bottle					
543	containers	containers	objects	"tank, storage tank"	"refrigerator, icebox"					
544	control	control	objects	computer	monitor					
545	control panel	control panel	objects	computer	"awning, sunshade, sunblind"					
546	controller	controller	objects	computer	arcade machine					
547	coocker	cooker	objects	stove	stove					
548	cooffe machine	coffee machine	appliances	computer	coffee table					
549	cookbook	cook book	objects	book	book					
550	cooker	cooker	objects	stove	stove					
551	cooker hood	cooker hood	appliances	"hood, exhaust hood"	"hood, exhaust hood"					
552	cookies	cookies	misc	"food, solid food"	tray					
553	copier	copier	objects	computer	computer					
554	copier machine	copier machine	misc	computer	arcade machine					
555	cork board	cork board	objects	bulletin board	"glass, drinking glass"					
556	cornice	cornice	misc	"stairway, staircase"	"stairway, staircase"					
557	cosmetic	cosmetic	objects	"wardrobe, closet, press"	"wardrobe, closet, press"					
558	cosmetics	cosmetics	objects	"wardrobe, closet, press"	clothes					
559	couch	couch	sofa	sofa	sofa					
560	counter	counter	counter	counter	counter					
561	counter desk	counter desk	table	desk	desk					
562	counter door	counter door	misc	counter	door					
563	countertop	countertop	counter	countertop	countertop					
564	countertop /otherroom	countertop /otherroom	counter	countertop	countertop					
565	countertop item	countertop item	misc	countertop	countertop					
566	courtain	curtain	curtain	curtain	curtain					
567	cover	cover	misc	"blanket, cover"	"blanket, cover"					
568	cradle	cradle	bed	bed	cradle					
569	crate	crate	objects	"wardrobe, closet, press"	tub					
570	crayon	crayon	objects	"painting, picture"	"painting, picture"					
571	crib	crib	misc	bed	sofa					
572	cross	cross	objects	"bridge, span"	"bridge, span"					
573	cross-trainer	cross-trainer	gym_equipment	"bridge, span"	"bridge, span"					
574	crutches	crutches	objects	"bridge, span"	stairs					
575	cuddly toy	cuddly toy	misc	"plaything, toy"	"plaything, toy"					
576	cup	cup	objects	bottle	bottle					
577	cupboard	cabinet	cabinet	cabinet	cabinet					
578	cups	cups	objects	bottle	bottle					
579	curatin	curtain	curtain	curtain	curtain					
580	curb	curb	objects	counter	counter					
581	curtain	curtain	curtain	curtain	curtain					
582	curtain  rod	curtain rod	curtain	curtain	curtain					
583	curtain /otheroom	curtain	curtain	curtain	curtain					
584	curtain bar	curtain bar	curtain	curtain	curtain					
585	curtain box	curtain box	curtain	curtain	curtain					
586	curtain hanger	curtain hanger	curtain	curtain	curtain					
587	curtain rail	curtain rail	misc	bar	curtain					
588	curtain rod	curtain rod	curtain	curtain	curtain					
589	curtain rod cover	curtain rod cover	curtain	curtain	curtain					
590	curtain valence	curtain valence	curtain	curtain	curtain					
591	curtains	curtain	curtain	curtain	curtain					
592	cushiom	cushion	cushion	cushion	cushion					
593	cushion	cushion	cushion	cushion	cushion					
594	cutlery	cutlery	objects	bottle	dishwasher					
595	cutting board	cutting board	objects	bulletin board	bulletin board					
596	cutting boards	cutting board	objects	bulletin board	bulletin board					
597	cyp	cyp	misc	bulletin board	bulletin board					
598	dacorative plant	decorative plant	plant	plant	plant					
599	dartboard	dartboard	objects	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
600	deccoration	decoration	objects	sconce	sconce					
601	deck chair	deck chair	chair	chair	chair					
602	decoartive plate	decorative plate	misc	plate	plate					
603	decoder	decoder	misc	computer	crt screen					
604	decooration	decoration	objects	sconce	sconce					
605	decor	decor	objects	sconce	"wardrobe, closet, press"					
606	decor plate	decorative plate	misc	plate	plate					
607	decoratinon	decoration	objects	sconce	sconce					
608	decoratiom	decoration	objects	sconce	sconce					
609	decoration	decoration	objects	sconce	sconce					
610	decoration bowl	decorative bowl	objects	vase	vase					
611	decoration plan	decorative plant	misc	sconce	plant					
612	decoration plant	decorative plant	misc	sconce	plant					
613	decoration window	decorative window	misc	window	window					
614	decorations	decoration	objects	sconce	sconce					
615	decorative bottle	decorative bottle	objects	bottle	bottle					
616	decorative bowl	decorative bowl	objects	vase	vase					
617	decorative ceramic	decorative ceramic	objects	plate	sconce					
618	decorative cloth	decorative cloth	objects	clothes	sconce					
619	decorative dinnerware	decorative dinnerware	objects	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
620	decorative frame	decorative frame	objects	sconce	sconce					
621	decorative lamp	decorative lamp	objects	lamp	lamp					
622	decorative lantern	decorative lantern	objects	sconce	sconce					
623	decorative mask	decorative mask	objects	sconce	sconce					
624	decorative pl;ant	decorative plant	misc	plant	plant					
625	decorative plant	decorative plant	misc	plant	plant					
626	decorative plants	decorative plant	misc	plant	plant					
627	decorative plate	decorative plate	misc	plate	plate					
628	decorative quilt	decorative quilt	misc	"painting, picture"	"painting, picture"					
629	decorative tray	decorative tray	objects	tray	tray					
630	decorative vase	decorative vase	objects	vase	vase					
631	decorative vessel	decorative vessel	objects	vase	ship					
632	decoratrion	decoration	objects	sconce	sconce					
633	decoratrive plant	decorative plant	misc	plant	plant					
634	decorayion	decoration	objects	sconce	sconce					
635	decotarion	decoration	objects	sconce	sconce					
636	decration	decoration	objects	sconce	sconce					
637	dehumidifier	dehumidifier	objects	dishwasher	dishwasher					
638	den	den	misc	"hovel, hut, hutch, shack, shanty"	"hovel, hut, hutch, shack, shanty"					
639	desk	desk	table	desk	desk					
640	desk cabinet	desk cabinet	cabinet	cabinet	cabinet					
641	desk chair	desk chair	chair	chair	desk					
642	desk clutter	desk clutter	misc	desk	desk					
643	desk door	desk door	cabinet	cabinet	desk					
644	desk lamp	desk lamp	lighting	lamp	lamp					
645	desk organizer	desk organizer	objects	desk	desk					
646	detergent bottle	detergent bottle	objects	bottle	bottle					
647	detergent bottles	detergent bottle	objects	bottle	bottle					
648	detergents	detergent	misc	bottle	dishwasher					
649	device	device	misc	computer	computer					
650	device/ probably paper shredder	device	misc	computer	computer					
651	dining chair	dining chair	chair	chair	chair					
652	dining table	dining table	table	table	table					
653	dinner chair	dinner chair	chair	chair	chair					
654	dinner table	dinner table	table	table	table					
655	dinnerware	dinnerware	objects	vase	vase					
656	dinnerware decoration	decorative dinnerware	objects	vase	"bannister, banister, balustrade, balusters, handrail"					
657	diplom	diploma	misc	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
658	diploma	diploma	misc	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
659	dirt ground	dirt ground	misc	"earth, ground"	"earth, ground"					
660	dish	dish	objects	plate	"buffet, counter, sideboard"					
661	dish cabinet	dish cabinet	cabinet	cabinet	cabinet					
662	dish dryer	dish dryer	appliances	oven	oven					
663	dish rack	dish rack	objects	oven	oven					
664	dish washer	dishwasher	appliances	dishwasher	dishwasher					
665	dish with food	dish	objects	plate	"buffet, counter, sideboard"					
666	dishawasher	dishwasher	appliances	dishwasher	dishwasher					
667	dishes	dishes	objects	plate	"buffet, counter, sideboard"					
668	dishes dryer	dish dryer	appliances	oven	oven					
669	dishrag	dishrag	objects	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
670	dishwasher	dishwasher	appliances	dishwasher	dishwasher					
671	dishwasher machine	dishwasher	appliances	dishwasher	dishwasher					
672	disk	dish	objects	plate	"buffet, counter, sideboard"					
673	dispenser	dispenser	objects	bottle	bottle					
674	display	display	tv_monitor	crt screen	"case, display case, showcase, vitrine"					
675	display cabinet	display cabinet	cabinet	cabinet	cabinet					
676	display case	display case	objects	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
677	display of pictures	display of pictures	picture	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
678	display table	display table	table	table	table					
679	document	document	misc	"poster, posting, placard, notice, bill, card"	bulletin board					
680	document holder	document holder	objects	bookcase	person					
681	documents	document	misc	"poster, posting, placard, notice, bill, card"	bulletin board					
682	dog bed	dog bed	bed	bed	bed					
683	dog leash	dog leash	misc	animal	animal					
684	dog toy	dog toy	objects	"plaything, toy"	"plaything, toy"					
685	doile	doily	misc	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
686	doily	doily	misc	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
687	doll	doll	objects	"plaything, toy"	"plaything, toy"					
688	dool	doll	objects	"plaything, toy"	"plaything, toy"					
689	door	door	door	door	door					
690	door  frame	door frame	door	door	door					
691	door  hinge	door hinge	misc	door	door					
692	door /otherroom	door /otherroom	door	door	door					
693	door cabinet	door cabinet	cabinet	cabinet	cabinet					
694	door drame	door frame	door	door	door					
695	door f	door frame	door	door	door					
696	door fame	door frame	door	door	door					
697	door fframe	door frame	door	door	door					
698	door frame	door frame	door	door	door					
699	door framr	door frame	door	door	door					
700	door handle	door handle	misc	door	door					
701	door hanger	door handle	misc	door	door					
702	door hine	door hinge	misc	door	door					
703	door hinge	door hinge	misc	door	door					
704	door kinge	door hinge	misc	door	door					
705	door knob	door knob	misc	door	door					
706	door mat	doormat	floor	rug	"plaything, toy"					
707	door rame	door frame	door	door	door					
708	door slide	sliding door	door	door	door					
709	door stoper	door stopper	misc	door	door					
710	door stopper	door stopper	misc	door	door					
711	door stoppper	door stopper	misc	door	door					
712	door window	door window	misc	door	window					
713	door/window	door/window	misc	door	window					
714	door/window frame	door/window frame	misc	door	window					
715	doorbell	doorbell	misc	door	door					
716	doorf rame	door frame	door	door	door					
717	doorframe	door frame	door	door	door					
718	doormat	doormat	floor	rug	"plaything, toy"					
719	doorpost	doorpost	objects	door	wall					
720	doors	door	door	door	door					
721	doorstep	doorstep	objects	stairs	door					
722	doorway	doorway	door	"stairway, staircase"	"stairway, staircase"					
723	dorr	door	door	door	door					
724	double armchair	double armchair	chair	armchair	armchair					
725	drain	drain	objects	sink	sink					
726	drainage	drainage	misc	water	water					
727	drainpipe	drainpipe	objects	water	"stairway, staircase"					
728	draw	draw	objects	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
729	drawer	drawer	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
730	drawer cabinet	drawer cabinet	cabinet	cabinet	cabinet					
731	drawer cart	drawer cart	objects	"chest of drawers, chest, bureau, dresser"	tray					
732	drawer desk	drawer desk	misc	desk	desk					
733	drawer sink table	drawer sink table	misc	table	table					
734	drawers	drawers	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
735	drawers for clothes	drawers for clothes	misc	"wardrobe, closet, press"	clothes					
736	drawing	drawing	misc	"painting, picture"	"painting, picture"					
737	dreser	dresser	chest_of_drawers	"wardrobe, closet, press"	"chest of drawers, chest, bureau, dresser"					
738	dress	dress	clothes	clothes	"wardrobe, closet, press"					
739	dresser	dresser	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
740	dressing table	dressing table	table	table	table					
741	dried flowers	dried flowers	objects	flower	flower					
742	drill	drill	misc	field	field					
743	drum	drum	objects	"plaything, toy"	"rock, stone"					
744	drums	drum	objects	"plaything, toy"	"rock, stone"					
745	dryer	clothes dryer	appliances	clothes	clothes					
746	drywall board	drywall board	misc	countertop	countertop					
747	drywall boards	drywall board	misc	countertop	countertop					
748	duct	duct	misc	radiator	radiator					
749	dumb bell	dumbbell	gym_equipment	unlabeled	swivel chair					
750	dumb-bells	dumbbell	gym_equipment	unlabeled	swivel chair					
751	dumbbel	dumbbell	gym_equipment	unlabeled	swivel chair					
752	dumbbell	dumbbell	gym_equipment	unlabeled	swivel chair					
753	dumbbell handles	dumbbell	gym_equipment	unlabeled	swivel chair					
754	dumbbells	dumbbell	gym_equipment	unlabeled	swivel chair					
755	dust bin	dustbin	objects	trash can	"toilet, can, commode, crapper, pot, potty, stool, throne"					
756	dustbin	dustbin	objects	trash can	"toilet, can, commode, crapper, pot, potty, stool, throne"					
757	dustpan	dustpan	objects	trash can	rug					
758	duvet	duvet	misc	cushion	pillow					
759	dvd	dvd	objects	computer	tv					
760	dvd movies	dvd	objects	computer	tv					
761	dvd player	dvd player	objects	computer	tv					
762	dvds	dvd	objects	computer	tv					
763	easel	easel	shelving	shelf	"painting, picture"					
764	easels	easel	shelving	shelf	"painting, picture"					
765	easy chair	easy chair	chair	chair	chair					
766	electric box	electric box	misc	box	box					
767	electric cable	electric cable	misc	rail	rail					
768	electric cord	electric cord	misc	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
769	electric device	electric device	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
770	electric drums	electric drum	objects	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
771	electric freshener	electric freshener	appliances	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
772	electric guitar	electric guitar	objects	"rock, stone"	"rock, stone"					
773	electric guitar pack	electric guitar	objects	"rock, stone"	"rock, stone"					
774	electric heater	electric heater	appliances	radiator	stove					
775	electric hub	electric hub	objects	rail	rail					
776	electric installation	electric installation	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
777	electric kettle	electric kettle	appliances	stove	stove					
778	electric outlet	electric outlet	objects	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
779	electric percussion	electric percussion	appliances	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
780	electric plug	electric plug	objects	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
781	electric toothbrush	electric toothbrush	appliances	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
782	electric wire	electric wire	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
783	electric wire casing	electric wire casing	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
784	electrical box	electrical box	objects	box	box					
785	electrical controller	electrical controller	misc	microwave	microwave					
786	electrical device	electrical device	misc	microwave	microwave					
787	electrical installation	electrical installation	misc	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
788	electrical switchboard	electrical switchboard	misc	microwave	microwave					
789	electricity box	electricity box	misc	box	box					
790	electronics	electronics	misc	computer	computer					
791	elephant sculpture	elephant sculpture	misc	sculpture	sculpture					
792	elevator	elevator	misc	"escalator, moving staircase, moving stairway"	"escalator, moving staircase, moving stairway"					
793	elevator door	elevator door	door	door	door					
794	emergency sign	emergency sign	misc	"signboard, sign"	"signboard, sign"					
795	end table	end table	table	table	table					
796	entertainment set	entertainment set	misc	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
797	entrance arch	entrance arch	misc	"stairway, staircase"	"stairway, staircase"					
798	entry phone	entry phone	objects	computer	computer					
799	excercise mat	exercise mat	gym_equipment	"toilet, can, commode, crapper, pot, potty, stool, throne"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
800	excersie ball	exercise ball	gym_equipment	ball	ball					
801	excersie equipment	exercise equipment	gym_equipment	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
802	exercise ball	exercise ball	gym_equipment	ball	ball					
803	exercise bike	exercise bike	gym_equipment	bicycle	bicycle					
804	exercise equipment	exercise equipment	gym_equipment	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
805	exercise ladder	exercise ladder	gym_equipment	"escalator, moving staircase, moving stairway"	"escalator, moving staircase, moving stairway"					
806	exercise machine	exercise machine	misc	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
807	exercise mat	exercise mat	gym_equipment	"toilet, can, commode, crapper, pot, potty, stool, throne"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
808	exercise mat roll	exercise mat roll	misc	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
809	exercising blocks	exercising blocks	gym_equipment	building	building					
810	exhaust pipe	exhaust pipe	misc	"hood, exhaust hood"	"hood, exhaust hood"					
811	exhibition panel	exhibition panel	misc	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
812	exhibition picture	exhibition picture	picture	"painting, picture"	"painting, picture"					
813	exhibition table	exhibition table	table	table	table					
814	exhibition window	exhibition window	window	window	window					
815	exhibition window frame	exhibition window frame	window	window	window					
816	exit sign	exit sign	misc	"signboard, sign"	"signboard, sign"					
817	extension cord	extension cord	misc	"palm, palm tree"	"palm, palm tree"					
818	extension lead	extension lead	misc	cushion	cushion					
819	extinguisher	fire extinguisher	objects	stove	stove					
820	extractor	extractor	misc	radiator	radiator					
821	extractor hood	extractor hood	misc	"hood, exhaust hood"	"hood, exhaust hood"					
822	eyeglasses	eyeglasses	objects	clothes	clothes					
823	fan	fan	objects	fan	fan					
824	fan-coil	fan coil	objects	fan	fan					
825	fan air vent	fan air vent	misc	fan	fan					
826	fans	fan	objects	fan	fan					
827	faucet	faucet	objects	sink	dishwasher					
828	fence	fence	misc	fence	fence					
829	fframe	frame	misc	"bridge, span"	"bridge, span"					
830	figure	figure	misc	"painting, picture"	"painting, picture"					
831	figurine	figurine	misc	sculpture	sculpture					
832	file	file	misc	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
833	file binder	file binder	misc	tray	tray					
834	file cabinet	file cabinet	cabinet	cabinet	cabinet					
835	files	file	misc	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
836	fire alarm	fire alarm	objects	stove	stove					
837	fire detector	fire detector	objects	stove	stove					
838	fire etenguisher	fire extinguisher	objects	stove	stove					
839	fire extinguisher	fire extinguisher	objects	stove	stove					
840	fire pit	fire pit	objects	stove	stove					
841	fire screen	fire screen	objects	"screen door, screen"	"screen door, screen"					
842	fire sprinkler	fire sprinkler	misc	stove	stove					
843	firebox	firebox	objects	fireplace	fireplace					
844	fireplace	fireplace	fireplace	fireplace	fireplace					
845	fireplace brush	fireplace brush	misc	fireplace	fireplace					
846	fireplace floor	fireplace floor	misc	fireplace	fireplace					
847	fireplace mirror	fireplace mirror	misc	fireplace	fireplace					
848	fireplace sconce	fireplace sconce	misc	fireplace	fireplace					
849	fireplace shelf	fireplace shelf	misc	fireplace	fireplace					
850	fireplace tool set	fireplace tool set	misc	fireplace	fireplace					
851	fireplace utensil	fireplace utensil	misc	fireplace	fireplace					
852	fireplace wall	fireplace wall	misc	fireplace	fireplace					
853	firewood	firewood	misc	stove	stove					
854	firewood bag	firewood bag	misc	bag	bag					
855	firewood chest	firewood chest	misc	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
856	firewood holder	firewood holder	misc	stove	stove					
857	fish tank	fish tank	misc	"tank, storage tank"	"tank, storage tank"					
858	fishing pole	fishing pole	misc	pole	pole					
859	fishing rod	fishing rod	misc	boat	boat					
860	fitness ball	fitness ball	gym_equipment	ball	ball					
861	flag	flag	misc	flag	flag					
862	flashlight	flashlight	objects	lamp	stove					
863	floer	floor	floor	floor	floor					
864	floor	floor	floor	floor	floor					
865	floor  lamp	floor lamp	lighting	lamp	lamp					
866	floor  mat	floor mat	floor	floor	floor					
867	floor  vent	floor vent	misc	"hood, exhaust hood"	floor					
868	floor /otherroom	floor /otherroom	floor	floor	floor					
869	floor /outside	floor /outside	floor	floor	floor					
870	floor lamp	floor lamp	lighting	lamp	lamp					
871	floor mat	floor mat	floor	floor	floor					
872	floor stand	floor stand	misc	"base, pedestal, stand"	floor					
873	floor vent	floor vent	misc	"hood, exhaust hood"	floor					
874	floormat	floor mat	floor	floor	floor					
875	florr	floor	floor	floor	floor					
876	flower	flower	plant	plant	flower					
877	flower  vase	flower vase	objects	vase	vase					
878	flower pot	flowerpot	objects	pot	vase					
879	flower stand	flower stand	misc	"base, pedestal, stand"	flower					
880	flower vase	flower vase	objects	vase	vase					
881	flowerbed	flowerbed	objects	vase	tree					
882	flowerpot	flowerpot	objects	pot	vase					
883	flowers	flowers	plant	plant	flower					
884	flowers in vase	flower vase	objects	vase	vase					
885	fluorescent light	fluorescent light	misc	light	light					
886	flush	flush	misc	sink	sink					
887	flush button	flush button	misc	sink	"screen door, screen"					
888	flush buttons	flush button	misc	sink	"screen door, screen"					
889	flush push	flush push	misc	sink	sink					
890	folded chair	folded chair	chair	chair	chair					
891	folded chairs	folded chair	chair	chair	chair					
892	folded table	folded table	table	table	table					
893	folder	folder	objects	tray	tray					
894	folders	folder	objects	tray	tray					
895	folding chair	folding chair	chair	chair	chair					
896	folding stand	folding stand	misc	"base, pedestal, stand"	"base, pedestal, stand"					
897	food	food	misc	"food, solid food"	"food, solid food"					
898	food processor	food processor	appliances	"food, solid food"	"food, solid food"					
899	food stand	food stand	misc	"food, solid food"	"food, solid food"					
900	food tray	food tray	objects	tray	tray					
901	foor frame	floor frame	floor	floor	floor					
902	foor lamp	floor lamp	lighting	lamp	lamp					
903	foosball game table	foosball game table	table	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
904	foosball table	foosball table	table	table	table					
905	foot rest	footrest	stool	stool	swivel chair					
906	foot spa	foot spa	misc	tub	tub					
907	foot stand	foot stand	misc	"base, pedestal, stand"	"base, pedestal, stand"					
908	football	football	objects	ball	ball					
909	footrest	footrest	stool	stool	swivel chair					
910	footstool	footstool	stool	stool	sofa					
911	fork	fork	objects	plate	tray					
912	frame	frame	misc	"bridge, span"	"bridge, span"					
913	frame door	frame	misc	"bridge, span"	"bridge, span"					
914	frame part	frame	misc	"bridge, span"	"bridge, span"					
915	framed document	document	misc	bulletin board	bulletin board					
916	framed mirror	mirror	mirror	mirror	mirror					
917	framed photo	photo	picture	"painting, picture"	"painting, picture"					
918	framed photos	photos	picture	"painting, picture"	"painting, picture"					
919	framed picture	picture	picture	"painting, picture"	"painting, picture"					
920	framed pictures	pictures	picture	"painting, picture"	"painting, picture"					
921	framed text	framed text	misc	"painting, picture"	crt screen					
922	freezer	freezer	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
923	fridge	refrigerator	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
924	fruit	fruit	objects	"food, solid food"	flower					
925	fruit bowl	fruit bowl	objects	vase	vase					
926	fruits	fruit	objects	"food, solid food"	flower					
927	frying pan	frying pan	objects	oven	oven					
928	fume cupboard	fume cupboard	misc	"wardrobe, closet, press"	"wardrobe, closet, press"					
929	fur	fur	misc	animal	animal					
930	fur carpet	fur carpet	floor	rug	rug					
931	furnace	furnace	misc	stove	stove					
932	furniture	furniture	furniture	"ottoman, pouf, pouffe, puff, hassock"	sofa					
